📰 過去記事抽出（2026-05-04時点）,,,,,,
全878件中・お店紹介系4カテゴリ・「閉店」除外で 467件抽出,,,,,,
このリストを見て、メインの「候補リスト_リサーチ」に手動で転記してください,,,,,,
,,,,,,
投稿日,カテゴリ,タイトル,抜粋,URL,採用候補?,メモ
2026-04-30,"話題, 豊川の街情報","【約6,300坪の更地】八幡町にあった「コニカミノルタ大宝山寮」が全解体され、広大な更地になりました。次は何だろねー？？",広大な更地になりました 豊川市民の皆さん、いつもありがとうございます！ 2025年7月にこんな記事を書きました。 【大規模解体】八幡町大宝山にあったコニカミノルタの社員寮「⼤宝⼭寮」が閉寮するんだって！その広さはなんと６ [&hellip;],https://toyokawa-rentallife.com/2026/04/30/vacantland-konicataihozanryo/,,
2026-04-29,"話題, 豊川の街情報",【スケボー専用公園】御津町御幸浜に新公園誕生！サッカーグラウンドはもう完成〜スケボーパークは2026年夏頃完成予定だって！,この情報は愛知県県議会議員さんのインスタから知りました。インスタ情報 スケボーパーク＆サッカーグラウンド 豊川市民の皆さん、スケボーって乗れます？ 　 　 むずい！ 昔流行った時期にはちょっと乗ってたんですが、前に進むの [&hellip;],https://toyokawa-rentallife.com/2026/04/29/miyukihama-skateboardpark/,,
2026-04-29,"話題, 豊川の街情報",【いいじゃん豊川市！】知らんかった…「歩道橋ネーミングライツ」なんてやってたのね。姫街道、佐奈川のところは”るんるん歩道橋”です！！,歩道橋ネーミングライツ 豊川市民の皆さん、ネーミングライツってご存知ですか？ 　 　 …それはドリームライツだね、エレクトリカルパレードの。 　 　 …それはナイツオブラウンドかな。”ライツ”ですらない（笑） 　 じゃな [&hellip;],https://toyokawa-rentallife.com/2026/04/29/iijantoykawa-pedestrian-bridge/,,
2026-04-25,"開店・閉店, 豊川の街情報",【ナチュラルカフェ はつね】豊川市当古町にオープン！姫街道沿いにあった「Public's Coffee Branding」の跡地。,当古町に新しいカフェが出来る この情報は本サイトのユーザー様からご提供頂きました。心の底から感謝申し上げます。 豊川市民の皆さん、 　 当古町ってご存知ですか？ 　 　 さすがです（笑） 私は以前こんな記事を書きました。 [&hellip;],https://toyokawa-rentallife.com/2026/04/25/newopen-hatsune/,,
2026-04-23,"話題, 豊川の街情報",【三蔵子町に新歩道橋】東三河環状線・三蔵子保育園そばで工事始まる！佐奈川をまたぐ橋はどうなった？,三蔵子町にも新たな歩道橋が出来る この情報は豊川市議会議員さんのインスタから知りました。 豊川市民の皆さん、2026年3月、国道1号線に新たな歩道橋が完成したのをご存知でしょうか？ 　 　 そうそう！ 衆議院議員の今枝宗 [&hellip;],https://toyokawa-rentallife.com/2026/04/23/sanzougocho-hodoukyo/,,
2026-04-22,"開店・閉店, 豊川の街情報",【コバックカーズ 豊川インター店】出店場所は”豊川甲羅本店”の跡地！｜2026年5月30日新店プレオープンって…間に合うか？間違い？,豊川市民の皆さん、お待たせしました！ ついに判明しました…！！ 　 　 東名町の話です！ 　 　 ですよね（笑） 今回の話題はコチラ！ 　 豊川甲羅本店跡地に出店するお店が判明！ 　 というお話し。 　 　 ついにです！ [&hellip;],https://toyokawa-rentallife.com/2026/04/22/newopen-kobaccars/,,
2026-04-19,"話題, 豊川の街情報",【はい残念】何も始まらなかった…姫街道沿い「うなぎの丸信」の跡地、更地になって「売物件」の看板が付いただけ。,豊川市民の皆さん、お疲れ様でした。 　 　 いや～…すみません、今回は残念なお知らせです。 つい先日、私はこういう記事を書きました。 【解体されそう】姫街道沿い「うなぎの丸信」の跡地、ついに解体が始まりそうだ！次は何だろ [&hellip;],https://toyokawa-rentallife.com/2026/04/19/zannen-marushinatochi/,,
2026-04-18,"開店・閉店, 豊川の街情報",【ニューオープン】諏訪２丁目に「ちょい飲み あっちゃん家」が出来る！15時から飲めるってー！,この情報は本サイトのユーザー様からご提供頂きました。心の底から感謝申し上げます。 　 豊川市民の皆さん、「あっちゃん」って聞いたら何を思い出します？ 　 　 それは「あんちゃん」ね。 　 　 …「がんちゃん」かな。 　  [&hellip;],https://toyokawa-rentallife.com/2026/04/18/newopen-acchanchi/,,
2026-04-16,"開店・閉店, 豊川の街情報",【ニューオープン】新道町に「Balloon & Plants SHOP　BLOOM」という素敵なお店が出来そう！美容室「`olu`olu」の跡地ね。,この情報は本サイトのユーザー様からご提供頂きました。心の底から感謝申し上げます。 　 豊川市民の皆さん、身の回りに植物は置いてありますか？ 　 　 それは幽遊白書の蔵馬（妖狐）が鴉戦で操ってた、気が荒いやつね。 いや古い [&hellip;],https://toyokawa-rentallife.com/2026/04/16/newopen-bloom/,,
2026-04-15,"話題, 豊川の街情報",【解体か？新店舗か？】こっちも動き出したぞ！東豊町の「どやすいや」跡地、何か始まった！！,この情報は本サイトの複数のユーザー様からご提供頂きました。心の底から感謝申し上げます。皆様本当にありがとうございました。 　 豊川市民の皆さん、最近、国道151号線沿いが慌ただしいです。 　 　 蒙古タンメン中本はその代 [&hellip;],https://toyokawa-rentallife.com/2026/04/15/doyasuiya-atochi/,,
